name,type,start_time,duration,"data"
"Async Serial","data",0.4541696,0.00098944,"t"
"Async Serial","data",0.45521136,0.00098944,";"
"Async Serial","data",0.4562528,0.00098944," "
"Async Serial","data",0.4572944,0.00098944,"t"
"Async Serial","data",0.45833616,0.00098944,"h"
"Async Serial","data",0.45937808,0.00098944,"e"
"Async Serial","data",0.46041968,0.00098944,"r"
"Async Serial","data",0.46146144,0.00098944,"e"
"Async Serial","data",0.46250304,0.00098944," "
"Async Serial","data",0.4635448,0.00098944,"c"
"Async Serial","data",0.46458656,0.00098944,"a"
"Async Serial","data",0.46562816,0.00098944,"n"
"Async Serial","data",0.46666944,0.00098944," "
"Async Serial","data",0.46771088,0.00098944,"b"
"Async Serial","data",0.46875264,0.00098944,"e"
"Async Serial","data",0.46979424,0.00098944," "
"Async Serial","data",0.47083568,0.00098944,"n"
"Async Serial","data",0.47187712,0.00098944,"o"
"Async Serial","data",0.47291888,0.00098944," "
"Async Serial","data",0.47396064,0.00098944,"p"
"Async Serial","data",0.47500208,0.00098944,"r"
"Async Serial","data",0.47604384,0.00098944,"i"
"Async Serial","data",0.4770856,0.00098944,"v"
"Async Serial","data",0.47812736,0.00098944,"a"
"Async Serial","data",0.47916896,0.00098944,"c"
"Async Serial","data",0.48021072,0.00098944,"y"
"Async Serial","data",0.48125248,0.00098944," "
"Async Serial","data",0.48229408,0.00098944,"a"
"Async Serial","data",0.48333584,0.00098944,"b"
"Async Serial","data",0.4843776,0.00098944,"o"
"Async Serial","data",0.4854192,0.00098944,"u"
"Async Serial","data",0.48646096,0.00098944,"t"
"Async Serial","data",0.48750272,0.00098944," "
"Async Serial","data",0.48854432,0.00098944,"t"
"Async Serial","data",0.48958608,0.00098944,"h"
"Async Serial","data",0.49062752,0.00098944,"a"
"Async Serial","data",0.49166912,0.00098944,"t"
"Async Serial","data",0.49271088,0.00098944,","
"Async Serial","data",0.49375248,0.00098944," "
"Async Serial","data",0.49479424,0.00098944,"a"
"Async Serial","data",0.49583616,0.00098944,"n"
"Async Serial","data",0.4968776,0.00098944,"y"
"Async Serial","data",0.49791936,0.00098944,"h"
"Async Serial","data",0.49896096,0.00098944,"o"
"Async Serial","data",0.50000272,0.00098944,"w"
"Async Serial","data",0.50104432,0.00098944,"."
"Async Serial","data",0.50208592,0.00098944," "
"Async Serial","data",0.50312768,0.00098944," "
"Async Serial","data",0.50416928,0.00098944,"I"
"Async Serial","data",0.50521104,0.00098944," "
"Async Serial","data",0.5062528,0.00098944,"d"
"Async Serial","data",0.5072944,0.00098944,"o"
"Async Serial","data",0.508336,0.00098944,"n"
"Async Serial","data",0.50937776,0.00098944,"'"
"Async Serial","data",0.51041936,0.00098944,"t"
"Async Serial","data",0.51146112,0.00098944," "
"Async Serial","data",0.51250288,0.00098944,"s"
"Async Serial","data",0.51354448,0.00098944,"u"
"Async Serial","data",0.51458624,0.00098944,"p"
"Async Serial","data",0.51562784,0.00098944,"p"
"Async Serial","data",0.51666928,0.00098944,"o"
"Async Serial","data",0.51771088,0.00098944,"s"
"Async Serial","data",0.51875248,0.00098944,"e"
"Async Serial","data",0.51979408,0.00098944,""
"Async Serial","data",0.52083568,0.00098944,"
"
"Async Serial","data",0.52187728,0.00098944,"a"
"Async Serial","data",0.52291904,0.00098944,"n"
"Async Serial","data",0.5239608,0.00098944,"y"
"Async Serial","data",0.52500256,0.00098944," "
"Async Serial","data",0.52604384,0.00098944,"p"
"Async Serial","data",0.5270856,0.00098944,"a"
"Async Serial","data",0.52812704,0.00098944,"p"
"Async Serial","data",0.52916848,0.00098944,"e"
"Async Serial","data",0.53021008,0.00098944,"r"
"Async Serial","data",0.53125168,0.00098944," "
"Async Serial","data",0.53229328,0.00098944,"w"
"Async Serial","data",0.53333488,0.00098944,"i"
"Async Serial","data",0.5343768,0.00098944,"l"
"Async Serial","data",0.5354184,0.00098944,"l"
"Async Serial","data",0.53645984,0.00098944," "
"Async Serial","data",0.5375016,0.00098944,"w"
"Async Serial","data",0.5385432,0.00098944,"a"
"Async Serial","data",0.5395848,0.00098944,"n"
"Async Serial","data",0.54062656,0.00098944,"t"
"Async Serial","data",0.54166816,0.00098944," "
"Async Serial","data",0.54270992,0.00098944,"t"
"Async Serial","data",0.54375136,0.00098944,"o"
"Async Serial","data",0.54479264,0.00098944," "
"Async Serial","data",0.54583456,0.00098944,"r"
"Async Serial","data",0.54687616,0.00098944,"e"
"Async Serial","data",0.5479176,0.00098944,"p"
"Async Serial","data",0.5489592,0.00098944,"o"
"Async Serial","data",0.5500008,0.00098944,"r"
"Async Serial","data",0.55104256,0.00098944,"t"
"Async Serial","data",0.552084,0.00098944," "
"Async Serial","data",0.5531256,0.00098944,"i"
"Async Serial","data",0.5541672,0.00098944,"t"
"Async Serial","data",0.55520896,0.00098944,","
"Async Serial","data",0.55625072,0.00098944," "
"Async Serial","data",0.55729232,0.00098944,"f"
"Async Serial","data",0.55833392,0.00098944,"o"
"Async Serial","data",0.55937552,0.00098944,"r"
"Async Serial","data",0.56041728,0.00098944," "
"Async Serial","data",0.56145888,0.00098944,"W"
"Async Serial","data",0.56250048,0.00098944,"a"
"Async Serial","data",0.56354224,0.00098944,"l"
"Async Serial","data",0.56458384,0.00098944,"d"
"Async Serial","data",0.5656256,0.00098944,"r"
"Async Serial","data",0.56666704,0.00098944,"o"
"Async Serial","data",0.5677088,0.00098944,"n"
"Async Serial","data",0.56875056,0.00098944," "
"Async Serial","data",0.56979216,0.00098944,"h"
"Async Serial","data",0.57083376,0.00098944,"a"
"Async Serial","data",0.57187536,0.00098944,"s"
"Async Serial","data",0.57291728,0.00098944," "
"Async Serial","data",0.57395904,0.00098944,"b"
"Async Serial","data",0.57500048,0.00098944,"e"
"Async Serial","data",0.57604208,0.00098944,"e"
"Async Serial","data",0.57708368,0.00098944,"n"
"Async Serial","data",0.57812528,0.00098944," "
"Async Serial","data",0.57916688,0.00098944,"r"
"Async Serial","data",0.58020864,0.00098944,"e"
"Async Serial","data",0.58125024,0.00098944,"p"
"Async Serial","data",0.58229184,0.00098944,"o"
"Async Serial","data",0.58333344,0.00098944,"r"
"Async Serial","data",0.5843752,0.00098944,"t"
"Async Serial","data",0.5854168,0.00098944,"e"
"Async Serial","data",0.5864584,0.00098944,"d"
"Async Serial","data",0.5875,0.00098944," "
"Async Serial","data",0.5885416,0.00098944,"a"
"Async Serial","data",0.5895832,0.00098944,"l"
